Variable:,tas
Country:,Chile
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1962,13.23,13.54,12.67,9.11,7.51,5.18,4.17,5.89,7.62,9.69,11.89,13.01
1963,13.08,13.83,11.22,9.87,7.39,5.43,5.75,5.85,6.16,8.65,9.73,12.58
1964,13.78,12.80,10.83,9.42,7.35,3.85,4.55,5.26,7.02,9.31,11.10,12.44
1965,13.52,13.34,12.43,9.28,6.40,7.13,4.38,5.97,6.73,9.12,11.19,11.60
1966,13.59,11.82,11.92,9.84,7.99,5.60,4.39,5.32,6.79,8.64,11.33,11.61
1967,13.18,13.02,11.74,10.51,8.14,3.82,4.47,5.11,6.88,9.04,10.97,13.00
1968,13.46,12.93,11.22,9.20,7.75,5.73,6.08,6.55,7.49,8.44,11.65,12.20
1969,13.78,13.01,11.84,10.13,7.73,5.42,5.33,5.78,7.92,8.42,11.18,13.22
1970,13.26,13.67,11.78,10.66,7.14,5.12,4.96,5.22,8.13,8.87,10.86,11.83
1971,11.79,11.95,11.19,8.31,6.48,3.92,5.45,5.63,7.94,9.09,11.07,11.73
1972,13.60,13.04,10.71,9.43,7.15,5.54,4.73,5.02,7.32,8.17,10.93,13.05
1973,13.39,13.37,12.17,9.05,6.96,5.47,3.49,5.48,6.84,8.95,10.58,11.87
1974,12.87,12.17,11.40,9.52,7.09,4.88,5.00,5.42,6.53,9.17,10.73,11.71
1975,13.87,12.82,11.65,9.51,7.10,6.05,4.21,4.78,7.01,8.83,9.89,12.04
1976,12.39,13.05,10.18,8.71,7.32,4.59,4.60,5.24,6.93,8.85,10.91,12.30
1977,13.43,12.98,11.96,9.98,7.45,5.72,4.77,5.54,7.85,9.66,10.97,13.00
1978,12.93,13.72,11.82,9.90,7.70,5.05,6.17,4.98,7.94,9.10,11.30,12.81
1979,13.81,13.17,11.59,9.48,7.47,5.41,5.77,6.84,6.45,8.78,10.29,12.40
1980,13.99,13.42,12.89,8.65,7.70,5.29,4.91,6.08,7.57,9.10,10.14,12.66
